date,open,low,high,close,volume
2025-01-29 00:00:00,1.04384,1.04378,1.04388,1.04378,73
2025-01-29 00:01:00,1.04378,1.04372,1.04381,1.04372,73
2025-01-29 00:02:00,1.04372,1.04372,1.04374,1.04373,38
2025-01-29 00:03:00,1.04373,1.04367,1.04378,1.04378,59
2025-01-29 00:04:00,1.04378,1.04376,1.04382,1.04381,25
2025-01-29 00:05:00,1.04381,1.04377,1.04383,1.04377,18
2025-01-29 00:06:00,1.04377,1.04377,1.04383,1.04382,27
2025-01-29 00:07:00,1.04382,1.04382,1.04388,1.04388,31
2025-01-29 00:08:00,1.04388,1.0438,1.0439,1.04382,90
2025-01-29 00:09:00,1.04382,1.04375,1.04383,1.04382,73
2025-01-29 00:10:00,1.04382,1.04382,1.04393,1.04393,103
2025-01-29 00:11:00,1.04393,1.04383,1.04393,1.04392,72
2025-01-29 00:12:00,1.04392,1.04384,1.04392,1.04385,71
2025-01-29 00:13:00,1.04385,1.04383,1.04393,1.04391,80
2025-01-29 00:14:00,1.04391,1.04384,1.04391,1.04391,70
2025-01-29 00:15:00,1.04391,1.04382,1.04393,1.04383,56
2025-01-29 00:16:00,1.04383,1.04383,1.04398,1.0439,98
2025-01-29 00:17:00,1.0439,1.04389,1.04393,1.04392,52
2025-01-29 00:18:00,1.04392,1.0439,1.04393,1.04393,40
2025-01-29 00:19:00,1.04393,1.04392,1.04398,1.04397,46
2025-01-29 00:20:00,1.04397,1.04394,1.04401,1.04401,49
2025-01-29 00:21:00,1.04401,1.04398,1.04408,1.04404,53
2025-01-29 00:22:00,1.04404,1.04397,1.04405,1.04399,52
2025-01-29 00:23:00,1.04399,1.04394,1.044,1.04396,42
2025-01-29 00:24:00,1.04396,1.04395,1.04402,1.04401,62
2025-01-29 00:25:00,1.04401,1.04401,1.04404,1.04402,40
2025-01-29 00:26:00,1.04402,1.04395,1.04404,1.04398,53
2025-01-29 00:27:00,1.04398,1.04392,1.04398,1.04395,41
2025-01-29 00:28:00,1.04395,1.04386,1.04396,1.04393,107
2025-01-29 00:29:00,1.04393,1.04384,1.04393,1.04389,68
2025-01-29 00:30:00,1.04389,1.04378,1.0439,1.0438,119
2025-01-29 00:31:00,1.0438,1.04372,1.04383,1.04373,99
2025-01-29 00:32:00,1.04373,1.0437,1.04375,1.04372,91
2025-01-29 00:33:00,1.04372,1.04372,1.04378,1.04377,62
2025-01-29 00:34:00,1.04377,1.04377,1.04388,1.04385,70
2025-01-29 00:35:00,1.04385,1.0438,1.04388,1.0438,48
2025-01-29 00:36:00,1.0438,1.04375,1.04381,1.04377,98
2025-01-29 00:37:00,1.04377,1.04375,1.04381,1.04376,52
2025-01-29 00:38:00,1.04376,1.0437,1.04378,1.04374,82
2025-01-29 00:39:00,1.04374,1.0437,1.04378,1.04372,72
2025-01-29 00:40:00,1.04372,1.04367,1.04373,1.04372,43
2025-01-29 00:41:00,1.04372,1.04366,1.04372,1.04367,54
2025-01-29 00:42:00,1.04367,1.04361,1.04373,1.04372,63
2025-01-29 00:43:00,1.04372,1.04367,1.04374,1.04367,47
2025-01-29 00:44:00,1.04367,1.04355,1.04367,1.04355,77
2025-01-29 00:45:00,1.04355,1.04352,1.04363,1.04358,78
2025-01-29 00:46:00,1.04358,1.04358,1.04367,1.04367,60
2025-01-29 00:47:00,1.04367,1.04367,1.04374,1.04372,72
2025-01-29 00:48:00,1.04372,1.04371,1.04374,1.04374,25
2025-01-29 00:49:00,1.04374,1.04373,1.04376,1.04376,15
2025-01-29 00:50:00,1.04376,1.04373,1.04376,1.04375,26
2025-01-29 00:51:00,1.04375,1.04373,1.04381,1.0438,76
